Nombre,Colonia,Alcaldia,Latitud,Longitud,Puntos_de_acceso,Programa,Costo_punto,Retorno_inv
HUIPULCO,CARMEN SERDAN 2132,Coyoacán,19.30119077,-99.14713573,1,PILARES,3000,300
INSURGENTES,JUAREZ,Cuauhtémoc,19.423401,-99.162568,2,PILARES,6000,600
ISIDRO FABELA,ISIDRO FABELA,Álvaro Obregón,19.3859,-99.2088389,3,PILARES,9000,900
IXHUATEPEC,LOMAS DE SAN JUAN IXHUATEPEC (2A SECCION),Gustavo A. Madero,19.50890909,-99.10851598,2,PILARES,6000,600
JALALPA TEPITO,JALALPA TEPITO,Álvaro Obregón,19.374318,-99.236969,3,PILARES,9000,900
JARDINES TECMA,LOS PICOS DE IZTACALCO SECCION 1RA 2311,Iztacalco,19.38853782,-99.11594081,4,PILARES,12000,1200
JOSÉ MARTÍ,LA ASUNCION,Iztacalco,19.39048,-99.121215,1,PILARES,3000,300
JOSE MUJICA,CTM VII CULHUACAN,Coyoacán,19.325762,-99.105857,6,PILARES,18000,1800
JOYA DE NIEVE,ARBOLEDAS DE CUAUTEPEC,Gustavo A. Madero,19.559461,-99.117624,4,PILARES,12000,1200
LA ARAÑA,PUNTA DE CEHUAYA,Álvaro Obregón,19.36265,-99.240295,3,PILARES,9000,900
LA CASITA,SAN JUAN TEPEPAN,Xochimilco,19.271733,-99.127966,5,PILARES,15000,1500
LA COMUNA AO,OLIVAR DEL CONDE 2DA SECCION,Álvaro Obregón,19.37290261,-99.21370911,6,PILARES,18000,1800
LA COMUNA IZTAPALAPA (DESARROLLO URBANO QUETZALTCOATL),DESARROLLO URBANO QUETZALCOATL,Iztapalapa,19.32694648,-99.03962295,6,PILARES,18000,1800
LA CONCHITA,LIBERALES DE 1857,Álvaro Obregón,19.3923704,-99.2156813,5,PILARES,15000,1500
LA CUESTA,EL MIRADOR,Álvaro Obregón,19.345512,-99.225916,4,PILARES,12000,1200
LA ESCUELITA DE COYOACÁN,PEDREGAL DE SANTO DOMINGO 2375,Coyoacán,19.325916,-99.164899,2,PILARES,6000,600
LA FORTALEZA,GABRIEL RAMOS MILLAN SECCION CUCHILLA,Iztacalco,19.387699,-99.091602,3,PILARES,9000,900
LA JOYA,LA JOYA 2247,Tlalpan,19.27879,-99.167388,2,PILARES,6000,600
LA MALINCHE,LA MALINCHE,La Magdalena Contreras,19.323069,-99.239324,3,PILARES,9000,900
LA MUELA,ZONA ESCOLAR ORIENTE,Gustavo A. Madero,19.532677,-99.143968,4,PILARES,12000,1200
LA NARANJA,SAN PEDRO XALPA 2490,Azcapotzalco,19.4745111,-99.2185,2,PILARES,6000,600
LA NOPALERA,SAN LORENZO,Tláhuac,19.2664247,-99.0550277,1,PILARES,3000,300
LA PULGA (TRANSITO),TRANSITO,Cuauhtémoc,19.42272825,-99.13269905,6,PILARES,18000,1800
LAS AGUILAS,MERCED GOMEZ,Álvaro Obregón,19.36218471,-99.20605093,3,PILARES,9000,900
LOMA DE CUILOTEPEC,LOMAS DE CUILOTEPEC,Tlalpan,19.27255728,-99.23365243,3,PILARES,9000,900
LOMAS DE BECERRA,ARTURO MARTINEZ,Álvaro Obregón,19.38612457,-99.2184197,3,PILARES,9000,900
LOMAS DE LA ERA,LOMAS DE LOS CEDROS,Álvaro Obregón,19.3257083,-99.2593028,3,PILARES,9000,900
LOMAS DE LA ESTANCIA,SANTIAGO ACAHUALTEPEC 2DA AMPLIACION 2530,Iztapalapa,19.34049532,-99.00765833,3,PILARES,9000,900
LOMAS DE ZARAGOZA,SANTIAGO ACAHUALTEPEC,Iztapalapa,19.358423,-98.999942,2,PILARES,6000,600
"LOS ANGELES 
(MUSEO INTERACTIVO YANCUIC)",LOS ANGELES,Iztapalapa,19.4239429,-99.2074625,2,PILARES,6000,600
MAGDALENA DE LAS SALINAS,MAGDALENA DE LAS SALINAS,Gustavo A. Madero,19.478502,-99.14573,4,PILARES,12000,1200
MALACATES,MALACATES 2322,Gustavo A. Madero,19.57504503,-99.128775,3,PILARES,9000,900
MARCELINO BUENDIA,LEYES DE REFORMA 3RA SECCION,Iztapalapa,19.380467,-99.069407,3,PILARES,9000,900
MARTIN CARRERA,MARTIN CARRERA,Gustavo A. Madero,19.48561995,-99.11314571,4,PILARES,12000,1200
MAZATLAN,BARRIO CANDELARIA TICOMAN,Gustavo A. Madero,19.5214467,-99.1418887,2,PILARES,6000,600
MERCADO CUAUTEPEC (LOMA DE LA PALMA),CUAUTEPEC DE MADERO,Gustavo A. Madero,19.5475346,-99.1431238,1,PILARES,3000,300
MERCADO SAN FELIPE DE JESUS (SAN FELIPE DE JESUS II),SAN FELIPE DE JESUS,Gustavo A. Madero,19.4932951,-99.0782938,3,PILARES,9000,900
MIGUEL HIDALGO,MIGUEL HIDALGO 2330,Tláhuac,19.292795,-99.046098,2,PILARES,6000,600
MIXQUIC,SANTA CRUZ,Tláhuac,19.22628,-98.952682,2,PILARES,6000,600
MOCTEZUMA (PELON OSUNA),MOCTEZUMA 2DA SECCION,Venustiano Carranza,19.42800573,-99.09237362,5,PILARES,15000,1500
MUNICIPIO LIBRE,PORTALES ORIENTE,Benito Juárez,19.3679694,-99.141575,1,PILARES,3000,300
MURCIELAGO,MIGUEL HIDALGO 2331,Tláhuac,19.291631,-99.049286,2,PILARES,6000,600
MUYUGUARDA (BARRIO 18),BARRIO 18 2099,Xochimilco,19.27556598,-99.11850886,5,PILARES,15000,1500
NIÑO QUEMADO,PEÑON DE LOS BAÑOS,Venustiano Carranza,19.43743465,-99.08569963,5,PILARES,15000,1500
NOGAL,CITLALLI 2135,Iztapalapa,19.341913,-99.022999,3,PILARES,9000,900
NUEVA ATZACOALCO,NUEVA ATZACOALCO,Gustavo A. Madero,19.500773,-99.084833,2,PILARES,6000,600
OLIVAR DEL CONDE,OLIVAR DEL CONDE 1RA SECCION 2354,Álvaro Obregón,19.373917,-99.204622,4,PILARES,12000,1200
PALMITAS,CITLALLI 2135,Iztapalapa,19.3389556,-99.02585,3,PILARES,9000,900
PARQUE ELECTRICISTAS,SINDICATO MEXICANO DE ELECTRICISTAS,Azcapotzalco,19.47572456,-99.17979365,4,PILARES,12000,1200
PAULO FREIRE,EL TRIANGULO,Tláhuac,19.2835917,-99.0118667,2,PILARES,6000,600
PEDRO VELEZ (PRESIDENTES DE MEXICO),PRESIDENTES DE MEXICO,Iztapalapa,19.33245957,-99.05675019,5,PILARES,15000,1500
PENSIL,REFORMA PENSIL,Miguel Hidalgo,19.448865,-99.194416,5,PILARES,15000,1500
PERÚ 88,CENTRO,Cuauhtémoc,19.439844,-99.134334,6,PILARES,18000,1800
"PILOTO ADOLFO LOPEZ MATEOS 
(MINASCO)",PILOTO ADOLFO LOPEZ MATEOS,Álvaro Obregón,19.3715399,-99.23236122,3,PILARES,9000,900
PLANTA DE ASFALTO,AJUSCO,Coyoacán,19.31143286,-99.163996,3,PILARES,9000,900
PLAZA DE LOS JÓVENES,XALPA,Iztapalapa,19.331153,-99.017227,5,PILARES,15000,1500
PLUTARCO ELÍAS CALLES (COYUYA),FRACCIONAMIENTO COYUYA,Iztacalco,19.3983024,-99.1139967,1,PILARES,3000,300
PORTALES,PORTALES SUR,Benito Juárez,19.364405,-99.143506,4,PILARES,12000,1200
PRESIDENTES,PRESIDENTES,Álvaro Obregón,19.377159,-99.221317,5,PILARES,15000,1500
PROGRESO NACIONAL,NUEVA INDUSTRIAL VALLEJO,Gustavo A. Madero,19.51638484,-99.15282894,4,PILARES,12000,1200
PROGRESO SUR,ESCUADRON 201,Iztapalapa,19.356763,-99.113051,2,PILARES,6000,600
PROHOGAR,PRO HOGAR,Azcapotzalco,19.474933,-99.149838,4,PILARES,12000,1200
PROVIDENCIA (ZACATECAS),PROVIDENCIA 2395,Gustavo A. Madero,19.48387686,-99.07081732,3,PILARES,9000,900
PURISIMA,PURISIMA ATLAZOLPA,Iztapalapa,19.379166,-99.109813,1,PILARES,3000,300
RECLUSORIO NORTE,CHALMA DE GUADALUPE,Gustavo A. Madero,19.54806658,-99.1515954,4,PILARES,12000,1200
RECLUSORIO ORIENTE (FLOR DE AZUCENA),LOMAS DE SAN LORENZO,Iztapalapa,19.32137966,-99.0655583,4,PILARES,12000,1200
REFORMA IZTLACIHUATL,REFORMA IZTACCIHUATL NORTE,Iztacalco,19.386334,-99.1326513,1,PILARES,3000,300
REFORMA POLITICA (DIF LA FORD),SIERRA DEL VALLE,Iztapalapa,19.343803,-99.030843,5,PILARES,15000,1500
RENOVACIÓN,RENOVACION,Iztapalapa,19.3694528,-99.0469889,3,PILARES,9000,900
REPÚBLICA,SANTA MARTHA ACATITLA 2520,Iztapalapa,19.371889,-99.016327,12,PILARES,36000,3600
RICHARD WAGNER,VALLEJO,Gustavo A. Madero,19.46552,-99.129176,3,PILARES,9000,900
RIO SAN BORJA,GOLONDRINAS 2DA SECCION,Álvaro Obregón,19.3762009,-99.21557092,3,PILARES,9000,900
RIO TIBER,CUAUHTEMOC,Cuauhtémoc,19.432818,-99.170648,2,PILARES,6000,600
ROJO GÓMEZ,AGRICOLA ORIENTAL,Iztacalco,19.404725,-99.0709694,1,PILARES,3000,300
ROSARIO CASTELLANOS,SANTA CECILIA,Tláhuac,19.278319,-99.007967,2,PILARES,6000,600
SALECIANO,ANAHUAC,Miguel Hidalgo,19.44787295,-99.17718816,3,PILARES,9000,900
SAN ANDRES AHUAYUCAN,SAN ANDRES AHUAYUCAN,Xochimilco,19.22458773,-99.10894255,2,PILARES,6000,600
SAN ANDRES TETEPILCO,SAN ANDRES TETEPILCO,Iztapalapa,19.36902145,-99.1309,5,PILARES,15000,1500
SAN BERNABE (PARCELA),LOMAS DE SAN BERNABE 2279,La Magdalena Contreras,19.310505,-99.26487,3,PILARES,9000,900
SAN FRANCISCO,PEDREGAL DE SAN FRANCISCO,Xochimilco,19.203271,-99.129225,2,PILARES,6000,600
SAN FRANCISCO TULTENCO,PAULINO NAVARRO,Cuauhtémoc,19.41097,-99.128755,3,PILARES,9000,900
SAN GREGORIO ATLAPULCO,SAN GREGORIO ATLAPULCO 2426,Xochimilco,19.256244,-99.060777,3,PILARES,9000,900
"SAN JOSE 
(AGUSTIN LARA)",SAN JOSE,Tláhuac,19.27621202,-98.99359525,2,PILARES,6000,600
