Nombre,Colonia,Alcaldia,Latitud,Longitud,Puntos_de_acceso,Programa,Costo_punto,Retorno_inv
TOLTECA,TOLTECA,Álvaro Obregón,19.3887951,-99.2058625,3,PILARES,9000,900
TOPILEJO,SAN MIGUEL TOPILEJO 2479,Tlalpan,19.198853,-99.14127,6,PILARES,18000,1800
TOPILTZIN,AJUSCO,Coyoacán,19.322999,-99.157708,2,PILARES,6000,600
TULYEHUALCO,BARRIO CALYEQUITA,Xochimilco,19.254388,-99.011498,2,PILARES,6000,600
URSULO GALVAN,SANTA CRUZ MEYEHUALCO 2498,Iztapalapa,19.33745428,-99.04648013,5,PILARES,15000,1500
VALLE DE LUCES,VALLE DE LUCES 2581,Iztapalapa,19.338014,-99.098174,6,PILARES,18000,1800
VALLE GÓMEZ (BOLEO),VALLE GOMEZ,Cuauhtémoc,19.457135,-99.124036,2,PILARES,6000,600
VASCO DE QUIROGA,VASCO DE QUIROGA,Gustavo A. Madero,19.496292,-99.0929588,5,PILARES,15000,1500
VELÓDROMO,JARDIN BALBUENA 2225,Venustiano Carranza,19.4102343,-99.1043163,4,PILARES,12000,1200
VIADUCTO,JARDIN BALBUENA 2225,Venustiano Carranza,19.407176,-99.113285,2,PILARES,6000,600
VILLA CID,DESARROLLO URBANO QUETZALCOATL,Iztapalapa,19.321479,-99.042488,2,PILARES,6000,600
VILLA DE ARAGÓN,VILLA DE ARAGON 2592,Gustavo A. Madero,19.4630273,-99.05807649,5,PILARES,15000,1500
VILLA PANAMERICANA,PEDREGAL DE CARRASCO,Coyoacán,19.3100417,-99.169875,2,PILARES,6000,600
VIVERO NEZA,VIVERO NEZA,xochimilco,19.29150006,-99.07712426,4,PILARES,12000,1200
XALLI,ARENAL,Azcapotzalco,19.464228,-99.151944,3,PILARES,9000,900
XALTIPAC,XALTIPAC,Milpa Alta,19.2172528,-98.9890694,1,PILARES,3000,300
XICOMULCO,SAN BARTOLOME XICOMULCO,Milpa Alta,19.206875,-99.0711861,2,PILARES,6000,600
XOCHINAHUAC,SAN MARTIN XOCHINAHUAC 2452,Azcapotzalco,19.509796,-99.18934,1,PILARES,3000,300
XOCHITEPEC,XOCHITEPEC,Xochimilco,19.25861366,-99.13064916,5,PILARES,15000,1500
YAUTLICA,CAMPESTRE POTRERO 2127,Iztapalapa,19.333532,-98.984321,5,PILARES,15000,1500
ZACATEPEC,CAMPESTRE POTRERO 2124,Iztapalapa,19.3264209,-98.9731222,3,PILARES,9000,900
ZAPATA VELA,CARLOS ZAPATA VELA,Iztacalco,19.38224,-99.096726,5,PILARES,15000,1500
ZENTLAPALT,AGUA BENDITA,Cuajimalpa de Morelos,19.355356,-99.309509,3,PILARES,9000,900
ZONA ROSA,JUAREZ,Cuauhtémoc,19.424677,-99.165484,1,PILARES,3000,300
EL ROSARIO,EL ROSARIO,Azcapotzalco,19.51303356,-99.20043135,4,PILARES,12000,1200
CENTRAL DE ABASTOS- PRODUCTORES ,ÁREA FEDERAL CENTRAL DE ABASTOS ,Iztapalapa,19.370144,-99.088598,2,PILARES,6000,600
EL ZAPOTE,EL ZAPOTE,Tlalpan,19.30051241,-99.17886316,4,PILARES,12000,1200
CARMEN SERDAN,CARMEN SERDAN,Coyoacán,19.32078975,-99.11303467,3,PILARES,9000,900
TIERRA UNIDA ,TIERRA UNIDA ,La Magdalena Contreras,19.30241395,-99.2700611,4,PILARES,12000,1200
TEQUISTLATECOS ,SAN JUAN TEPEXIMILPA ,Tlalpan ,19.27302474,-99.19051512,3,PILARES,9000,900
LACANDONES,"LACANDONES, COL. PEDREGAL DE LAS AGUILAS",Tlalpan,19.27233648,-99.17623536,5,PILARES,15000,1500
TEXCALATLACO,"AV. TEXCALACLACO S/N, COL. PLAN DE AYALA",Tlalpan,19.23923394,-99.14748293,4,PILARES,12000,1200
EX ESCUELA VASCO DE QUIROGA ,MORELOS,Venustiano Carranza,19.44789,-99.12566,7,PILARES,21000,2100
